Company,TypeName,Inches,Ram,OpSys,Weight,Price,Cpu_brand_temp,Gpu_brand_temp,Touchscreen,IPS,X_res,Y_res,PPI,SSD,HDD,Flash,Hybrid,Cpu_brand,Cpu_tier,Cpu_speed,Gpu_brand,Dedicated_gpu
Apple,Ultrabook,13.3,8,macOS,1.37,71378.6832,Intel,Intel,0,1,2560,1600,226.98300468106115,128,0,0,0,Intel,i5,2.3,intel,0
Apple,Ultrabook,13.3,8,macOS,1.34,47895.5232,Intel,Intel,0,0,1440,900,127.67794013309688,0,0,128,0,Intel,i5,1.8,intel,0
HP,Notebook,15.6,8,No OS,1.86,30636.0,Intel,Intel,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,2.5,intel,0
Apple,Ultrabook,15.4,16,macOS,1.83,135195.33599999998,Intel,AMD,0,1,2880,1800,220.53462386625827,512,0,0,0,Intel,i7,2.7,amd,1
Apple,Ultrabook,13.3,8,macOS,1.37,96095.808,Intel,Intel,0,1,2560,1600,226.98300468106115,256,0,0,0,Intel,i5,3.1,intel,0
Acer,Notebook,15.6,4,Windows 10,2.1,21312.0,AMD,AMD,0,0,1366,768,100.45466986113651,0,500,0,0,AMD,other,2.5,amd,1
Apple,Ultrabook,15.4,16,Mac OS X,2.04,114017.6016,Intel,Intel,0,1,2880,1800,220.53462386625827,0,0,256,0,Intel,i7,2.2,intel,0
Apple,Ultrabook,13.3,8,macOS,1.34,61735.536,Intel,Intel,0,0,1440,900,127.67794013309688,0,0,256,0,Intel,i5,1.8,intel,0
Asus,Ultrabook,14.0,16,Windows 10,1.3,79653.59999999999,Intel,Nvidia,0,0,1920,1080,157.3505121487356,512,0,0,0,Intel,i7,1.8,nvidia,1
Acer,Ultrabook,14.0,8,Windows 10,1.6,41025.6,Intel,Intel,0,1,1920,1080,157.3505121487356,256,0,0,0,Intel,i5,1.6,intel,0
HP,Notebook,15.6,4,No OS,1.86,20986.992,Intel,Intel,0,0,1366,768,100.45466986113651,0,500,0,0,Intel,i5,2.5,intel,0
HP,Notebook,15.6,4,No OS,1.86,18381.0672,Intel,Intel,0,0,1920,1080,141.21199808219862,0,500,0,0,Intel,i3,2.5,intel,0
Apple,Ultrabook,15.4,16,macOS,1.83,130001.6016,Intel,AMD,0,1,2880,1800,220.53462386625827,256,0,0,0,Intel,i7,2.8,amd,1
Dell,Notebook,15.6,4,Windows 10,2.2,26581.392,Intel,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i3,2.5,amd,1
Apple,Ultrabook,12.0,8,macOS,0.92,67260.672,Intel,Intel,0,1,2304,1440,226.41554716935852,256,0,0,0,Intel,other,1.2,intel,0
Apple,Ultrabook,13.3,8,macOS,1.37,80908.344,Intel,Intel,0,1,2560,1600,226.98300468106115,256,0,0,0,Intel,i5,2.3,intel,0
Dell,Notebook,15.6,8,Windows 10,2.2,39693.6,Intel,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,2.7,amd,1
Apple,Ultrabook,15.4,16,macOS,1.83,152274.24,Intel,AMD,0,1,2880,1800,220.53462386625827,512,0,0,0,Intel,i7,2.9,amd,1
Lenovo,Notebook,15.6,8,No OS,2.2,26586.72,Intel,Nvidia,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i3,2.4,nvidia,1
Dell,Ultrabook,13.3,8,Windows 10,1.22,52161.12,Intel,Intel,1,1,1920,1080,165.6321180513006,128,0,0,0,Intel,i5,1.6,intel,0
Asus,Netbook,11.6,2,Windows 10,0.98,10224.432,Intel,Intel,0,0,1366,768,135.0942111925629,0,0,32,0,Intel,atom,1.44,intel,0
Lenovo,Gaming,15.6,8,Windows 10,2.5,53226.72,Intel,Nvidia,0,1,1920,1080,141.21199808219862,128,1024,0,0,Intel,i5,2.5,nvidia,1
HP,Notebook,15.6,4,No OS,1.86,13746.24,AMD,AMD,0,0,1366,768,100.45466986113651,0,500,0,0,AMD,other,1.5,amd,1
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,43636.32,Intel,Intel,1,0,1920,1080,165.6321180513006,256,0,0,0,Intel,i5,1.6,intel,0
HP,Ultrabook,15.6,8,Windows 10,1.91,35111.52,Intel,Intel,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,1.8,intel,0
Dell,Notebook,15.6,4,Windows 10,2.3,22305.1392,Intel,Intel,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,i3,2.5,intel,0
Apple,Ultrabook,13.3,8,Mac OS X,1.35,58554.72,Intel,Intel,0,0,1440,900,127.67794013309688,0,0,128,0,Intel,i5,1.6,intel,0
Dell,Notebook,15.6,8,Windows 10,2.2,42624.0,Intel,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,1.6,amd,1
Dell,Ultrabook,15.6,8,Windows 10,1.88,69157.44,Intel,Intel,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,1.9,intel,0
HP,Notebook,17.3,8,Windows 10,2.5,47738.88,Intel,Nvidia,0,0,1920,1080,127.33567457123111,0,1024,0,0,Intel,i5,1.6,nvidia,1
Chuwi,Notebook,15.6,4,Windows 10,1.89,13053.0672,Intel,Intel,0,0,1920,1080,141.21199808219862,0,0,64,0,Intel,atom,1.44,intel,0
Asus,Notebook,14.0,2,Windows 10,1.65,10602.72,AMD,AMD,0,0,1366,768,111.93520355955211,0,0,32,0,AMD,other,1.5,amd,1
HP,Notebook,17.3,4,Windows 10,2.71,23389.92,AMD,AMD,0,0,1920,1080,127.33567457123111,0,500,0,0,AMD,other,2.5,amd,1
Dell,Ultrabook,13.3,16,Windows 10,1.2,99580.32,Intel,Intel,1,0,3200,1800,276.053530085501,512,0,0,0,Intel,i7,1.8,intel,0
Apple,Ultrabook,13.3,8,Mac OS X,1.35,53173.44,Intel,Intel,0,0,1440,900,127.67794013309688,0,0,256,0,Intel,i5,1.6,intel,0
Lenovo,Notebook,14.0,4,Windows 10,1.44,13266.72,Intel,Intel,0,0,1366,768,111.93520355955211,0,0,64,0,Intel,celeron,1.1,intel,0
Acer,Notebook,15.6,4,Linux,2.1,19553.76,Intel,Intel,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,i3,2.7,intel,0
Dell,Notebook,17.3,8,Windows 10,2.8,52161.12,Intel,AMD,0,1,1920,1080,127.33567457123111,128,1024,0,0,Intel,i5,1.6,amd,1
HP,Notebook,15.6,4,Windows 10,1.86,26037.4032,Intel,Intel,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,i5,2.5,intel,0
HP,Notebook,15.6,8,Windows 10,2.1,46833.12,Intel,Nvidia,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,1.6,nvidia,1
Asus,Notebook,15.6,4,Linux,2.0,20725.92,Intel,Intel,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i3,2.5,intel,0
Dell,Gaming,15.6,16,Windows 10,2.65,79866.72,Intel,Nvidia,0,1,1920,1080,141.21199808219862,256,1024,0,0,Intel,i7,2.8,nvidia,1
Asus,Notebook,15.6,8,Linux,2.3,27864.9072,Intel,Nvidia,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,i5,2.5,nvidia,1
Acer,Notebook,15.6,4,Windows 10,2.2,36336.96,Intel,Intel,0,1,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,1.6,intel,0
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,53226.72,Intel,Nvidia,1,0,1920,1080,127.33567457123111,0,1024,0,0,Intel,i5,1.6,nvidia,1
Apple,Ultrabook,13.3,8,macOS,1.37,75604.31999999999,Intel,Intel,0,1,2560,1600,226.98300468106115,256,0,0,0,Intel,i5,2.0,intel,0
Lenovo,Notebook,15.6,4,No OS,2.2,19660.32,Intel,Intel,0,0,1366,768,100.45466986113651,128,0,0,0,Intel,i3,2.5,intel,0
Asus,Gaming,17.3,8,Windows 10,3.2,69210.72,AMD,AMD,0,0,1920,1080,127.33567457123111,256,1024,0,0,AMD,other,2.5,amd,1
Dell,Notebook,15.6,4,Windows 10,2.3,34045.92,Intel,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,2.5,amd,1
Asus,Notebook,17.3,4,Windows 10,2.8,24828.48,Intel,Nvidia,0,0,1366,768,90.58340172449303,0,1024,0,0,Intel,other,1.1,nvidia,1
Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,16996.32,Intel,Intel,1,1,1920,1200,224.17380907857276,0,0,64,0,Intel,atom,1.44,intel,0
Acer,Notebook,15.6,8,Windows 10,2.2,44808.48,Intel,Nvidia,0,1,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,1.8,nvidia,1
HP,Notebook,15.6,4,Windows 10,1.86,21231.5472,AMD,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,AMD,other,2.5,amd,1
HP,Notebook,13.3,8,Windows 10,1.49,58767.84,Intel,Intel,0,0,1920,1080,165.6321180513006,512,0,0,0,Intel,i7,1.8,intel,0
Acer,Notebook,15.6,4,Windows 10,2.4,20459.52,Intel,Intel,0,0,1366,768,100.45466986113651,0,1024,0,0,Intel,i3,2.4,intel,0
Dell,Notebook,15.6,8,Windows 10,2.13,40908.384,Intel,AMD,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i7,1.8,amd,1
HP,Notebook,15.6,4,Windows 10,1.91,23389.92,Intel,Intel,0,0,1920,1080,141.21199808219862,128,0,0,0,Intel,i3,2.5,intel,0
Asus,Notebook,15.6,4,Windows 10,2.0,31232.203200000004,Intel,Intel,0,0,1366,768,100.45466986113651,256,0,0,0,Intel,i5,2.5,intel,0
MSI,Gaming,17.3,16,Windows 10,2.43,130482.72,Intel,Nvidia,0,0,1920,1080,127.33567457123111,256,2048,0,0,Intel,i7,2.8,nvidia,1
Asus,Notebook,15.6,4,Linux,2.0,22111.2,Intel,Intel,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i3,2.5,intel,0
Dell,Notebook,17.3,16,Windows 10,2.8,69210.72,Intel,AMD,0,0,1920,1080,127.33567457123111,256,2048,0,0,Intel,i7,1.8,amd,1
Dell,Ultrabook,14.0,8,Windows 10,1.7,46833.12,Intel,Intel,0,0,1920,1080,157.3505121487356,256,0,0,0,Intel,i5,1.6,intel,0
Lenovo,Notebook,14.0,8,No OS,1.7,31914.72,Intel,Intel,0,1,1920,1080,157.3505121487356,256,0,0,0,Intel,i3,2.7,intel,0
Asus,Notebook,14.0,8,Windows 10,1.4,50136.48,Intel,Intel,0,0,1920,1080,157.3505121487356,256,0,0,0,Intel,i5,1.6,intel,0
HP,Notebook,15.6,8,Windows 10,1.86,36763.2,Intel,Intel,0,0,1920,1080,141.21199808219862,256,0,0,0,Intel,i5,2.5,intel,0
Asus,Ultrabook,15.6,16,Windows 10,1.8,105654.24,Intel,Nvidia,0,0,1920,1080,141.21199808219862,512,0,0,0,Intel,i7,2.8,nvidia,1
HP,Notebook,15.6,4,Windows 10,1.86,23373.4032,Intel,AMD,0,0,1366,768,100.45466986113651,0,500,0,0,Intel,i3,2.5,amd,1
HP,Notebook,14.0,4,Windows 10,1.44,12201.12,Intel,Intel,0,0,1366,768,111.93520355955211,32,0,0,0,Intel,celeron,1.6,intel,0
Lenovo,Notebook,15.6,4,Windows 10,1.9,29250.72,Intel,Intel,0,0,1920,1080,141.21199808219862,0,1024,0,0,Intel,i5,2.5,intel,0
