Company,TypeName,Inches,Ram,OpSys,Weight,Price,Cpu_brand_temp,Gpu_brand_temp,Touchscreen,IPS,X_res,PPI,SSD,HDD,Hybrid,Cpu_brand,Cpu_tier,Cpu_speed,Gpu_brand,Dedicated_gpu
Apple,Ultrabook,13.3,8,macOS,1.37,11.175768558816314,Intel,Intel,0,1,2560,226.98300468106115,128,0,0,Intel,i5,2.3,intel,0
Apple,Ultrabook,13.3,8,macOS,1.34,10.776798196213472,Intel,Intel,0,0,1440,127.67794013309688,0,0,0,Intel,i5,1.8,intel,0
HP,Notebook,15.6,8,No OS,1.86,10.329963707833757,Intel,Intel,0,0,1920,141.21199808219862,256,0,0,Intel,i5,2.5,intel,0
Apple,Ultrabook,15.4,16,macOS,1.83,11.814483341632057,Intel,AMD,0,1,2880,220.53462386625827,512,0,0,Intel,i7,2.7,amd,1
Apple,Ultrabook,13.3,8,macOS,1.37,11.473111379006117,Intel,Intel,0,1,2560,226.98300468106115,256,0,0,Intel,i5,3.1,intel,0
Acer,Notebook,15.6,4,Windows 10,2.1,9.967072494161238,AMD,AMD,0,0,1366,100.45466986113652,0,500,0,AMD,other,2.5,amd,1
Apple,Ultrabook,15.4,16,Mac OS X,2.04,11.644116885995366,Intel,Intel,0,1,2880,220.53462386625827,0,0,0,Intel,i7,2.2,intel,0
Apple,Ultrabook,13.3,8,macOS,1.34,11.03063119023011,Intel,Intel,0,0,1440,127.67794013309688,0,0,0,Intel,i5,1.8,intel,0
Asus,Ultrabook,14.0,16,Windows 10,1.3,11.285455066338496,Intel,Nvidia,0,0,1920,157.3505121487356,512,0,0,Intel,i7,1.8,nvidia,1
Acer,Ultrabook,14.0,8,Windows 10,1.6,10.621975915807171,Intel,Intel,0,1,1920,157.3505121487356,256,0,0,Intel,i5,1.6,intel,0
HP,Notebook,15.6,4,No OS,1.86,9.951705743636337,Intel,Intel,0,0,1366,100.45466986113652,0,500,0,Intel,i5,2.5,intel,0
HP,Notebook,15.6,4,No OS,1.86,9.819130859661563,Intel,Intel,0,0,1920,141.21199808219862,0,500,0,Intel,i3,2.5,intel,0
Apple,Ultrabook,15.4,16,macOS,1.83,11.775309741545168,Intel,AMD,0,1,2880,220.53462386625827,256,0,0,Intel,i7,2.8,amd,1
Dell,Notebook,15.6,4,Windows 10,2.2,10.188004320693702,Intel,AMD,0,0,1920,141.21199808219862,256,0,0,Intel,i3,2.5,amd,1
Apple,Ultrabook,12.0,8,macOS,0.92,11.11634584374235,Intel,Intel,0,1,2304,226.4155471693585,256,0,0,Intel,other,1.2,intel,0
Apple,Ultrabook,13.3,8,macOS,1.37,11.301084596994947,Intel,Intel,0,1,2560,226.98300468106115,256,0,0,Intel,i5,2.3,intel,0
Dell,Notebook,15.6,8,Windows 10,2.2,10.588970437272568,Intel,AMD,0,0,1920,141.21199808219862,256,0,0,Intel,i7,2.7,amd,1
Apple,Ultrabook,15.4,16,macOS,1.83,11.933444951799322,Intel,AMD,0,1,2880,220.53462386625827,512,0,0,Intel,i7,2.9,amd,1
Lenovo,Notebook,15.6,8,No OS,2.2,10.188204734039374,Intel,Nvidia,0,0,1920,141.21199808219862,0,1024,0,Intel,i3,2.4,nvidia,1
Dell,Ultrabook,13.3,8,Windows 10,1.22,10.862111839946362,Intel,Intel,1,1,1920,165.6321180513006,128,0,0,Intel,i5,1.6,intel,0
Lenovo,Gaming,15.6,8,Windows 10,2.5,10.882334592260529,Intel,Nvidia,0,1,1920,141.21199808219862,128,1024,0,Intel,i5,2.5,nvidia,1
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,10.683668026512203,Intel,Intel,1,0,1920,165.6321180513006,256,0,0,Intel,i5,1.6,intel,0
HP,Ultrabook,15.6,8,Windows 10,1.91,10.466313041010059,Intel,Intel,0,0,1920,141.21199808219862,256,0,0,Intel,i7,1.8,intel,0
Dell,Notebook,15.6,4,Windows 10,2.3,10.012617220008426,Intel,Intel,0,0,1366,100.45466986113652,0,1024,0,Intel,i3,2.5,intel,0
Apple,Ultrabook,13.3,8,Mac OS X,1.35,10.977734058532482,Intel,Intel,0,0,1440,127.67794013309688,0,0,0,Intel,i5,1.6,intel,0
Dell,Notebook,15.6,8,Windows 10,2.2,10.660196214585818,Intel,AMD,0,0,1920,141.21199808219862,256,0,0,Intel,i5,1.6,amd,1
Dell,Ultrabook,15.6,8,Windows 10,1.88,11.14415538315185,Intel,Intel,0,0,1920,141.21199808219862,256,0,0,Intel,i7,1.9,intel,0
HP,Notebook,17.3,8,Windows 10,2.5,10.773522386274244,Intel,Nvidia,0,0,1920,127.33567457123112,0,1024,0,Intel,i5,1.6,nvidia,1
HP,Notebook,17.3,4,Windows 10,2.71,10.060103191853011,AMD,AMD,0,0,1920,127.33567457123112,0,500,0,AMD,other,2.5,amd,1
Dell,Ultrabook,13.3,16,Windows 10,1.2,11.508729875782148,Intel,Intel,1,0,3200,276.053530085501,512,0,0,Intel,i7,1.8,intel,0
Apple,Ultrabook,13.3,8,Mac OS X,1.35,10.881333108748292,Intel,Intel,0,0,1440,127.67794013309688,0,0,0,Intel,i5,1.6,intel,0
Acer,Notebook,15.6,4,Linux,2.1,9.88097401403836,Intel,Intel,0,0,1366,100.45466986113652,0,1024,0,Intel,i3,2.7,intel,0
